YEAR,REGION,STATEFIP,COUNTY,METRO,ASECWT,AGE,SEX,RACE,OCC,UHRSWORK1,EDUC,SCHLCOLL,INCWAGE,OFFTOTVAL,POVERTY
2024,11,25,25025,2,3602.87,27,1,100,440,35,111,5,82000,88607,23
2024,41,49,0,3,1288.23,24,1,100,140,40,73,5,90000,128680,23
2024,31,11,11001,2,480.06,41,1,100,4420,40,73,5,40000,40003,23
2024,32,47,0,2,2491.26,13,2,100,0,999,1,0,99999999,174614,23
2024,11,25,25009,3,1931.05,60,1,200,9141,45,111,0,60000,395850,23
2024,42,53,0,2,2498.24,26,1,100,5240,30,73,5,35000,36005,23
2024,42,2,0,3,296.77,40,2,651,3090,40,125,5,0,101611,23
2024,42,6,0,3,1842.75,48,2,100,10,48,73,5,0,5001,10
2024,22,19,0,4,1954.0,32,2,651,4220,40,73,5,51000,128919,23
2024,31,51,0,1,2455.54,35,1,100,4622,50,123,5,78000,123358,23
2024,42,53,53033,2,1959.59,78,1,100,0,999,125,0,0,202459,23
2024,21,18,18089,4,3418.38,15,2,100,0,999,30,0,0,272086,23
2024,21,18,18141,2,2116.72,60,1,100,0,999,81,0,0,50253,23
2024,42,6,6037,3,4466.86,0,1,651,0,999,1,0,99999999,117023,23
2024,31,12,12099,3,2361.02,43,1,100,1021,40,111,5,160000,176266,23
2024,21,55,0,1,2334.38,39,2,100,2310,20,111,5,24000,491600,23
2024,42,6,0,3,1857.57,51,1,801,310,40,73,5,75000,100672,23
2024,11,23,23001,4,1392.88,66,2,100,0,999,73,0,0,232178,23
2024,32,1,0,1,1199.99,42,1,100,7750,40,73,5,55000,125216,23
2024,41,16,0,4,1057.28,68,1,100,0,999,73,0,0,122962,23
2024,12,36,0,4,2726.48,15,2,100,0,999,73,0,0,25600,10
2024,32,1,1097,2,1191.71,71,1,200,0,999,123,0,0,249913,23
2024,12,36,0,4,5118.6,54,1,100,7420,40,92,5,72000,72004,23
2024,12,42,42101,2,4327.46,41,1,200,3421,40,81,5,44000,103070,23
2024,11,25,25027,3,1507.02,51,2,100,2910,999,111,5,2500,233547,23
2024,33,48,0,3,3951.36,19,2,200,0,999,73,3,0,25000,21
2024,42,6,6037,2,2269.13,27,1,100,4920,40,111,5,30000,30750,23
2024,41,35,0,1,1163.18,65,1,100,2600,60,73,0,0,45579,23
2024,33,48,0,2,2626.48,31,2,100,8990,30,20,5,14000,14001,10
2024,42,41,0,1,1685.56,13,1,100,0,999,1,0,99999999,317078,23
2024,22,46,0,1,754.61,20,1,100,7330,42,73,5,0,0,10
2024,22,31,0,3,981.11,34,1,100,8990,40,92,5,80000,138000,23
2024,32,1,0,1,1230.86,68,2,200,0,999,92,0,0,56088,23
2024,42,6,6037,3,1545.11,52,1,100,2905,40,111,5,62000,62322,23
2024,22,20,20091,3,1442.04,55,1,100,4810,40,111,0,110000,221001,23
2024,33,48,0,2,2749.82,43,1,100,630,40,111,5,98000,188390,23
2024,12,42,42085,3,2213.59,54,1,100,205,40,30,5,0,612523,23
2024,41,16,0,3,984.88,26,1,100,4850,35,73,5,36000,36000,23
2024,42,2,0,1,375.23,18,2,300,0,999,60,1,0,98440,23
2024,31,12,12086,3,3650.87,1,2,100,0,999,1,0,99999999,352956,23
